0.03	-0.07	0.70
-0.10	0.04	1.20
0.03	-0.07	0.71
-0.10	0.04	1.20
0.03	-0.07	0.71
-0.09	0.04	1.20
0.03	-0.07	0.72
-0.09	0.04	1.19
0.02	-0.07	0.73
-0.09	0.04	1.19
0.02	-0.07	0.73
-0.09	0.04	1.19
0.02	-0.07	0.74
-0.09	0.04	1.19
0.02	-0.07	0.74
-0.08	0.04	1.19
0.02	-0.07	0.75
-0.08	0.03	1.18
0.02	-0.07	0.75
-0.08	0.03	1.18
0.02	-0.07	0.76
-0.08	0.03	1.18
0.02	-0.06	0.77
-0.08	0.03	1.18
0.02	-0.06	0.77
-0.07	0.03	1.17
0.02	-0.06	0.78
-0.07	0.03	1.17
0.02	-0.06	0.78
-0.07	0.03	1.17
0.02	-0.06	0.79
-0.07	0.03	1.17
0.02	-0.06	0.80
-0.06	0.03	1.17
0.02	-0.06	0.80
-0.06	0.03	1.17
0.02	-0.06	0.81
-0.06	0.03	1.16
0.02	-0.06	0.82
-0.06	0.03	1.16
0.02	-0.06	0.82
-0.05	0.03	1.16
0.02	-0.06	0.83
-0.05	0.02	1.16
0.02	-0.06	0.83
-0.05	0.02	1.15
0.02	-0.05	0.84
-0.05	0.02	1.15
0.02	-0.05	0.85
-0.05	0.02	1.15
0.01	-0.05	0.85
-0.04	0.02	1.15
0.02	-0.05	0.86
-0.04	0.02	1.15
0.01	-0.05	0.87
-0.04	0.02	1.14
0.01	-0.05	0.87
-0.04	0.02	1.14
0.01	-0.05	0.88
-0.03	0.02	1.14
0.01	-0.05	0.89
-0.03	0.02	1.14
0.01	-0.05	0.89
-0.03	0.02	1.13
0.01	-0.05	0.90
-0.03	0.02	1.13
0.01	-0.05	0.90
-0.02	0.02	1.13
0.01	-0.05	0.91
-0.02	0.02	1.13
0.01	-0.04	0.92
-0.02	0.02	1.12
0.01	-0.04	0.92
-0.02	0.02	1.12
0.01	-0.04	0.93
-0.02	0.01	1.12
0.01	-0.04	0.94
-0.01	0.01	1.12
0.01	-0.04	0.94
-0.01	0.01	1.12
0.01	-0.04	0.95
-0.01	0.01	1.11
0.01	-0.04	0.95
-0.01	0.01	1.11
0.01	-0.04	0.96
-0.00	0.01	1.11
0.01	-0.03	0.97
0.00	0.01	1.11
0.01	-0.04	0.98
0.00	0.01	1.10
0.01	-0.03	0.98
0.01	0.01	1.10
0.01	-0.03	0.99
0.01	0.01	1.10
0.01	-0.03	0.99
0.01	0.01	1.09
0.01	-0.03	1.00
0.01	0.01	1.09
0.01	-0.03	1.01
0.01	0.01	1.09
0.01	-0.03	1.01
0.02	0.01	1.09
0.01	-0.03	1.02
0.02	0.01	1.08
0.01	-0.02	1.02
0.02	0.00	1.08
0.01	-0.02	1.03
0.02	0.00	1.08
0.01	-0.02	1.04
0.03	0.00	1.07
0.00	-0.02	1.04
0.03	0.00	1.07
